segment_id,start_hint,end_hint,emotion,semantic_theme,visual_motifs,motion_style,duration_hint,notes
CH01_SC290,1:10,1:13,anxiety,social anxiety,"A close-up shot of the calm narrator nodding gently, looking directly into the camera lens with an empathetic expression",slow pan right,3.15,Họ học cách định vị lại hướng đi của kim la bàn.
CH01_SC300,1:13,1:14,anxiety,social anxiety,"Starting with the narrator's face, camera zooms out slowly to show a minimalist subscribe button graphic floating on the left side",slow pan right,1.31,"Chào bạn, đây là KenhTamLy."
CH01_SC310,1:14,1:17,anxiety,social anxiety,"A steady shot showing a hand pressing a digital button that glows with a cyan ring effect, dark background",slow pan right,2.62,"Hôm nay, chúng ta sẽ bước xuống dưới làn da."
CH01_SC320,1:17,1:20,anxiety,social anxiety,"Starting with the glowing ring, camera pans right showing the English text 'SUBSCRIBE' fade in at the bottom-right corner",slow pan right,2.89,Chúng ta sẽ giải phẫu cơ chế lo âu xã giao.
CH01_SC330,1:20,1:23,anxiety,social anxiety,"A close-up shot showing the calm narrator's hands folded on the desk, with the brass compass sitting beside them",slow pan right,3.41,Và học cách làm chủ tương tác bằng sự tự tại thực chứng.
CH01_SC340,1:23,1:29,anxiety,social anxiety,"Starting with the compass, camera zooms out slowly showing the calm narrator sitting calmly in his chair, smiling warmly",slow pan right,5.51,Lưu ý rằng phân tích ở đây không thay thế chẩn đoán y khoa về rối loạn lo âu bệnh lý.
CH01_SC350,1:29,1:32,anxiety,social anxiety,A slow camera panning right showing a stack of old leather research journals on the corner of the table,slow pan right,2.89,Nếu bạn cũng từng cảm thấy bất an trước đám đông.
CH01_SC360,1:32,1:34,anxiety,social anxiety,"Starting with the research journals, camera zooms in on the brass compass with the needle resting in the center",slow pan right,2.62,Hãy bấm đăng ký kênh và nhấn thích video này.
CH01_SC370,1:34,1:39,anxiety,social anxiety,"A steady long shot showing the calm narrator looking towards a screen, with the screen light reflecting cyan on his face",slow pan right,4.99,Hành động này giúp chúng tôi tiếp tục đồng hành cùng bạn trên hành trình thấu hiểu bản thân.
CH02_SC010,1:39,1:44,alert,neurobiology,"Starting with a steady shot of a minimalist 2D brain vector model on a dark background, with the amygdala region flashing bright red light, showing red pulses traveling down a thick spine vector, dark charcoal grey background",slow zoom-out,5.25,"Khi bạn cảm thấy lo lắng, nhịp tim của bạn tăng vọt."
CH02_SC020,1:44,1:51,alert,neurobiology,"A close-up shot showing a graphic heart vector beating rapidly, flashing bright amber lights on a dark background",slow zoom-out,6.56,Phản ứng sinh học này được gọi là trạng thái kích hoạt cao.
CH02_SC030,1:51,1:58,alert,neurobiology,"Starting with the beating heart, camera zooms out showing a flow of amber liquid rushing through abstract black pipes",slow zoom-out,6.82,"Lúc này, trực giác của bạn đưa ra một mệnh lệnh."
CH02_SC040,1:58,2:03,alert,neurobiology,"A slow camera panning right showing an anxious young man standing in a windstorm, body slightly leaning forward, dark charcoal grey silhouette",slow zoom-out,4.99,Đè nén sự lo âu giống như việc bạn cố bịt miệng một chiếc nồi áp suất đang sôi.
CH02_SC050,2:03,2:09,alert,neurobiology,"Starting with the silhouette, camera zooms in on an anxious young man's hand squeezing a small rubber ball on the desk",slow zoom-out,6.56,Sự kích hoạt sinh lý là một dòng năng lượng thực tế.
CH02_SC060,2:09,2:12,alert,neurobiology,"A steady shot showing a closed metal valve with amber steam leaking from the edges, under high pressure, charcoal grey background",slow zoom-out,2.89,Khoa học thần kinh chỉ ra một cơ chế tàn nhẫn.
CH02_SC070,2:12,2:17,alert,neurobiology,"Starting with the leaking steam, camera slowly zooms out showing a larger steam machine with a pressure dial pointing to the red warning zone",slow zoom-out,4.46,Việc cố gắng ức chế cảm xúc tiêu cực tiêu tốn rất nhiều năng lượng nhận thức.
CH02_SC080,2:17,2:20,alert,neurobiology,"A close-up shot of an anxious young man's forehead with sweat drops rolling down, lit by a harsh amber light from the side",slow zoom-out,2.89,Vỏ não trước trán của bạn sẽ nhanh chóng kiệt quệ.
CH02_SC090,2:20,2:24,alert,neurobiology,"Starting with the sweating face, camera pans down showing an anxious young man's hands clenching a paper folder tightly",slow zoom-out,4.20,"Kết quả là bạn trở nên nói nhạt, quên ý, và đờ đẫn trước đối phương."
CH02_SC100,2:24,2:29,alert,neurobiology,"A slow camera panning right showing a graph where a grey bar representing cognitive energy shrinks, with the English text 'PFC FATIGUE' on a card at the top-left",slow zoom-out,5.25,"Tại Đại học Harvard, giáo sư Alison Wood Brooks đã thực hiện một thí nghiệm thú vị vào năm 2013."
CH02_SC110,2:29,2:36,alert,neurobiology,"Starting with the shrinking graph, camera zooms in showing an anxious young man sitting with his head in his hands, cast in charcoal grey shadows",slow zoom-out,6.82,Bà yêu cầu các tình nguyện viên hát một bài hát karaoke dưới áp lực lớn.
CH02_SC120,2:36,2:41,alert,neurobiology,"A steady shot of a laboratory room with a microphone stand in the center, a soft amber spotlight illuminating the metallic grill of the mic",slow zoom-out,5.51,Một nhóm được yêu cầu tự nhủ: Tôi đang lo lắng.
CH02_SC130,2:41,2:44,alert,neurobiology,"Starting with the microphone, camera slowly zooms out showing an anxious young man walking towards it under a dim silver grey light",slow zoom-out,2.89,Và nhóm thứ ba tự tuyên bố: Tôi đang phấn khích.
CH02_SC140,2:44,2:49,alert,neurobiology,"A close-up shot of a smartphone screen showing a recording app with the wave graph flatlining, dark background",slow zoom-out,4.72,Kết quả đo đạc từ phần mềm hát chuyên dụng đã làm kinh ngạc các nhà khoa học.
CH02_SC150,2:49,2:53,alert,neurobiology,"Starting with the smartphone, camera pans right showing three paper signs on a desk with English texts 'ANXIOUS', 'CALM', and 'EXCITED' in clean print",slow zoom-out,3.67,"Nhóm tự nhủ ""tôi phấn khích"" hát đúng nhịp và đúng tông nhạc nhất."
CH02_SC160,2:53,2:57,alert,neurobiology,"A steady shot showing a column chart on a digital screen, the column labeled 'EXCITED' rises highest in a bright amber color",slow zoom-out,3.94,"Trong khi đó, nhóm cố gắng ""bình tĩnh"" lại có màn biểu diễn tệ nhất."
CH02_SC170,2:57,3:01,alert,neurobiology,"Starting with the rising column, camera zooms out to show the interface of a karaoke evaluation software showing high pitch accuracy scores",slow zoom-out,4.20,Tại sao một câu nói đơn giản lại thay đổi hoàn toàn hiệu suất sinh học?
CH02_SC180,3:01,3:07,alert,neurobiology,"A slow camera panning right showing the calm narrator speaking, pointing to a blackboard behind him in the studio",slow zoom-out,6.30,Bởi vì lo âu và phấn khích có chung một nền tảng vật lý.
CH02_SC190,3:07,3:14,alert,neurobiology,"Starting with the blackboard, camera zooms in showing the calm narrator's hand writing the English word 'EXCITATION' with white chalk",slow zoom-out,6.82,Sự khác biệt duy nhất nằm ở cái nhãn nhận thức bạn gán cho nó.
CH02_SC200,3:14,3:20,alert,neurobiology,A steady shot showing a minimalist drawing of Joy from Inside Out drawing a white chalk circle around Sadness on a dark chalkboard,slow zoom-out,6.04,Phấn khích là nhãn nhận thức về một cơ hội.
CH02_SC210,3:20,3:26,alert,neurobiology,"Starting with the chalk circle, camera pans down showing a person stepping over the circle line, entering a warmer amber space",slow zoom-out,6.04,Bạn chỉ cần định vị lại nó.
CH02_SC220,3:26,3:31,alert,neurobiology,"A close-up shot of the brass pocket compass, with the needle pointing towards a glowing amber symbol on the desk",slow zoom-out,4.99,Bạn đã từng cố gắng ép mình bình tĩnh trước một cuộc họp quan trọng và thất bại chưa?
CH02_SC230,3:31,3:37,alert,neurobiology,"Starting with the compass, camera pans up showing the calm narrator looking towards a digital monitor showing a wave graph, studio background",slow zoom-out,5.51,Hãy để lại bình luận bên dưới để chúng ta cùng giải mã cơ chế phản ứng của cơ thể bạn.
CH03_SC010,3:37,3:41,tension,salary negotiation,"Starting with a steady shot of a dark office room, a wooden table with a leather chair, a window behind casting long noir shadows",slow pan right,4.20,"Bây giờ, hãy mang cảm giác lo âu đó vào một tình huống thực tế khác."
CH03_SC020,3:41,3:44,tension,salary negotiation,"A close-up shot showing an anxious young man sitting opposite a manager silhouette, hands clenching a pen, dark charcoal grey lighting",slow pan right,3.67,Bạn đang ngồi trong phòng làm việc của sếp để đàm phán tăng lương.
CH03_SC030,3:44,3:51,tension,salary negotiation,"Starting with the clenching pen, camera slowly zooms out showing a paper contract on the desk with the English text 'SALARY' in bold print",slow pan right,6.82,Hạch hạnh nhân trong não bạn đang phát đi tín hiệu cảnh báo.
CH03_SC040,3:51,3:55,tension,salary negotiation,"A steady shot showing the shaking hands of an anxious young man as he signs the paper contract, showing extreme tension",slow pan right,4.20,"Và để thoát ra càng nhanh càng tốt, bạn đưa ra một nước đi sai lầm."
CH03_SC050,3:55,4:00,tension,salary negotiation,"Starting with the signing hand, camera pans right showing a folder labeled 'NEGOTIATION' sliding off the edge of the desk",slow pan right,4.20,Bạn vội vã đồng ý với mức đề xuất thấp đầu tiên mà sếp đưa ra.
CH03_SC060,4:00,4:04,tension,salary negotiation,"A slow camera panning right showing a graphic illustration of a person running away from a conference table, represented as a black vector silhouette",slow pan right,4.46,"Nghiên cứu mang tên ""Nervous Nellie"" vào năm 2011 đã chỉ ra chính xác hành vi này."
CH03_SC070,4:04,4:11,tension,salary negotiation,"Starting with the running silhouette, camera zooms in on a scale tilting completely towards one side under a heavy orange block",slow pan right,6.56,Những người đàm phán đang lo âu thường đưa ra các nhượng bộ rất sớm.
CH03_SC080,4:11,4:16,tension,salary negotiation,"A close-up shot of a pen tip breaking on paper, leaving a dark ink blot, warning orange accent light",slow pan right,4.99,Họ làm vậy để mua lấy sự giải tỏa cảm xúc tức thời cho bộ não đang hoảng loạn.
CH03_SC090,4:16,4:20,tension,salary negotiation,"Starting with the ink blot, camera pans up showing an anxious young man nodding hastily with a forced look of relief",slow pan right,4.46,Đàm phán lương hay thỏa thuận công việc thất bại không phải vì bạn thiếu năng lực.
CH03_SC100,4:20,4:25,tension,salary negotiation,"A steady shot showing a large glass window showing a busy city avenue outside, rain sliding down the glass pane, dark charcoal grey background",slow pan right,4.46,Nó thất bại vì bạn không quản trị được bản năng trốn chạy sinh học của mình.
CH03_SC110,4:25,4:28,tension,salary negotiation,"Starting with the window, camera pans left showing a digital tablet on the desk displaying the English letters 'B.A.T.N.A.' in a clean sans-serif font",slow pan right,3.94,Làm thế nào để neo giữ lại chiếc kim la bàn đang quay cuồng này?
CH03_SC120,4:28,4:32,tension,salary negotiation,"A close-up shot of a road sign showing two arrows pointing in different directions, lit by a sharp warning orange light",slow pan right,3.94,Khoa học đàm phán cung cấp một chiếc mỏ neo vững chắc mang tên BATNA.
CH03_SC130,4:32,4:37,tension,salary negotiation,"Starting with the road sign, camera zooms out showing a person standing at the fork of the road, looking at a second option",slow pan right,4.99,Đây là từ viết tắt của Phương án thay thế tốt nhất cho một thỏa thuận được thương lượng.
CH03_SC140,4:37,4:44,tension,salary negotiation,"A steady shot showing a second contract folder on a clean mahogany desk, labeled with the English text 'OFFER B' in white print",slow pan right,6.82,Hãy tưởng tượng bạn có một lời mời làm việc từ một công ty khác với mức lương tương đương.
CH03_SC150,4:44,4:50,tension,salary negotiation,"Starting with the second contract, camera pans left showing a hand calmly picking up a brass pocket compass, the needle pointing steadily towards the North on a golden face on the desk",slow pan right,6.04,"Khi bạn sở hữu một phương án dự phòng vững chắc, chiếc la bàn nội tâm của bạn sẽ tự động đứng yên."
CH03_SC160,4:50,4:55,tension,salary negotiation,"A close-up shot of the hand holding a brass pocket compass, the needle pointing steadily towards the North on a golden face, with the needle remaining perfectly still pointing North",slow pan right,4.99,Bạn không còn lo âu vì bạn biết mình hoàn toàn có quyền bước ra khỏi phòng đàm phán.
CH03_SC170,4:55,5:01,tension,salary negotiation,"Starting with the compass, camera slowly zooms out showing a person sitting back in their chair with a relaxed posture",slow pan right,5.25,"Sức mạnh đàm phán thực chất không đến từ sự hung dữ, mà đến từ sự tự do lựa chọn."
CH03_SC180,5:01,5:04,tension,salary negotiation,"A slow camera panning right showing a balance scale returning to a perfect horizontal level, lit by a soft orange light",slow pan right,3.15,Nhưng cuộc hội thoại xã giao không chỉ có đàm phán lương.
CH03_SC190,5:04,5:08,tension,salary negotiation,"Starting with the balanced scale, camera zooms in showing a person standing up from the negotiation table, turning away calmly",slow pan right,4.20,"Đôi khi, chúng ta mắc sai lầm và phải đối mặt với áp lực chuộc lỗi."
CH03_SC200,5:08,5:12,tension,salary negotiation,"A close-up of a contract folder being closed gently, with the desk surface showing a soft warm orange reflection",slow pan right,4.20,"Và lúc đó, cái tôi tự vệ lại đẩy chúng ta vào một bẫy sâu hơn."
CH03_SC210,5:12,5:18,tension,salary negotiation,"Starting with the closed folder, camera pans up showing the calm narrator sitting at his desk, holding a brass pocket compass in his hand",slow pan right,5.77,Tại sao lời xin lỗi thứ ba của bạn trong cuộc trò chuyện lại biến thành một lời bào chữa ích kỷ?
CH04_SC010,5:18,5:23,regret,conversational apologies,"Starting with a steady shot of a person standing in a spotlight in a dark room, head bowed down in regret, noir shadows background",slow push-in,5.25,"Khi chúng ta phạm sai lầm với một ai đó, phản xạ tự nhiên của cái tôi sẽ trỗi dậy."
CH04_SC020,5:23,5:29,regret,conversational apologies,"A close-up shot of a mouth speaking, with a speech bubble displaying the English word 'SORRY...' in a cracked minimal font",slow push-in,6.04,Chúng ta thường bắt đầu bằng câu: Tôi xin lỗi.
CH04_SC030,5:29,5:33,regret,conversational apologies,"Starting with the speech bubble, camera zooms out showing a wall of multiple speech bubbles stacking up and surrounding the person",slow push-in,3.41,Chúng ta làm vậy vì muốn đối phương hiểu hoàn cảnh của mình.
CH04_SC040,5:33,5:36,regret,conversational apologies,A slow camera panning right showing a person trying to push away a heavy black shadow wall with the text 'EXCUSES' written on it,slow push-in,3.67,"Nhưng thực tế, bộ não của bạn đang chơi một trò chơi ích kỷ."
CH04_SC050,5:36,5:41,regret,conversational apologies,"Starting with the shadow wall, camera zooms in showing a hand writing a long letter on yellowed paper under a single hanging lightbulb",slow push-in,5.25,Sự giải thích dông dài là cách cái tôi cố gắng giảm bớt cảm giác tội lỗi của chính nó.
CH04_SC060,5:41,5:45,regret,conversational apologies,"A steady shot of the calm narrator sitting in the studio, turning a page of a case study file, warm sepia lighting",slow push-in,3.41,Nó không phục vụ cho việc chữa lành vết thương của nạn nhân.
CH04_SC070,5:45,5:50,regret,conversational apologies,"Starting with the narrator, camera pans right showing a chalkboard with the English text 'APOLOGY FREQUENCY' written in white chalk",slow push-in,4.99,Giáo sư Alison Wood Brooks đã chỉ ra một sự thật phản trực giác trong giao tiếp hàng ngày.
CH04_SC080,5:50,5:55,regret,conversational apologies,"A close-up shot of an hourglass with sand running down rapidly, the glass reflecting a dim amber light, dark background",slow push-in,4.99,"Nếu bạn xin lỗi quá một hoặc hai lần trong một cuộc hội thoại, nó sẽ phản tác dụng."
CH04_SC090,5:55,6:02,regret,conversational apologies,"Starting with the hourglass, camera zooms out showing a hand tapping a desk impatiently next to it",slow push-in,6.82,Lời xin lỗi thứ ba trở đi không còn mang lại sự thành khẩn.
CH04_SC100,6:02,6:07,regret,conversational apologies,"A slow camera panning right showing an old courtroom bối cảnh với a long wooden bench, empty chairs, deep noir shadows",slow push-in,5.25,"Càng lặp lại lời xin lỗi, bạn càng hướng sự chú ý của đối phương quay lại lỗi lầm đó."
CH04_SC110,6:07,6:11,regret,conversational apologies,"Starting with the empty courtroom, camera zooms in on a folder labeled with the English text 'PAROLE RECORD' on a dark table",slow push-in,4.46,"Để hiểu sâu hơn, hãy nhìn vào dữ liệu từ một bối cảnh cực kỳ khốc liệt."
CH04_SC120,6:11,6:14,regret,conversational apologies,"A steady shot showing a panel of judges in silhouette sitting behind an elevated desk, lit by a cold white light from above",slow push-in,2.62,Các phiên điều trần xin đặc xá của tù nhân.
CH04_SC130,6:14,6:21,regret,conversational apologies,"Starting with the judges, camera pans down showing a prisoner silhouette standing before them, hands behind his back",slow push-in,6.82,Nhóm nghiên cứu của Brooks đã phân tích các cuộc đối thoại xin đặc xá thực tế.
CH04_SC140,6:21,6:28,regret,conversational apologies,"A close-up of a document showing a stamp with the English word 'DENIED' in bold red ink, aligned to the bottom-right corner",slow push-in,6.82,Những phạm nhân liên tục nói lời xin lỗi và thể hiện sự hối lỗi bằng lời nói không có tỷ lệ được thả
CH04_SC150,6:28,6:34,regret,conversational apologies,"Starting with the denied stamp, camera zooms out showing the prisoner looking down in silence",slow push-in,6.30,Cái lắc đầu của hội đồng đặc xá chứng minh lời xin lỗi trống rỗng không có giá trị pháp lý hay tâm l
CH04_SC160,6:34,6:40,regret,conversational apologies,A slow camera panning right showing another document displaying a structured flowchart labeled 'ACTION PLAN' in clean print,slow push-in,6.30,Điều duy nhất giúp họ được đặc xá là gì?
CH04_SC170,6:40,6:45,regret,conversational apologies,"Starting with the flowchart, camera zooms in showing a hand pointing to a step labeled with the English text 'CHANGE' on the document",slow push-in,4.72,Họ đã học được nghề gì trong tù?
CH04_SC180,6:45,6:51,regret,conversational apologies,"A steady shot showing a stamp with the English word 'APPROVED' in green ink on a document page, warm lighting",slow push-in,6.30,Hội đồng đặc xá chỉ phản hồi với những cam kết hành động có thể đo lường được.
CH04_SC190,6:51,6:55,regret,conversational apologies,"Starting with the approved stamp, camera pans right showing a person walking out of a steel gate into an open area with soft white light",slow push-in,3.94,Một lời xin lỗi chân thành thực chất không phải để xoa dịu quá khứ.
CH04_SC200,6:55,6:58,regret,conversational apologies,"A close-up shot of a hand rolling up a blueprint document, tying it with a simple brown string on a dark wooden table",slow push-in,3.15,Nó là bản kế hoạch hành động cụ thể cho tương lai.
CH04_SC210,6:58,7:02,regret,conversational apologies,"Starting with the blueprint, camera zooms out showing a person putting the roll in a bag, preparing to walk away",slow push-in,3.94,"Hãy nói lời xin lỗi tối đa hai lần, rồi im lặng và hành động."
CH04_SC220,7:02,7:09,regret,conversational apologies,"Starting with the bag, camera pans up showing the calm narrator looking at the camera with an analytical and thoughtful expression",slow push-in,6.82,Nhưng bẫy của cái tôi không dừng lại ở lời xin lỗi.
CH04_SC230a,7:09,7:14,regret,conversational apologies,"A steady close-up shot showing the calm narrator's hands placing a file folder on the dark desk, showing the starting phase of the action",slow push-in,5.25,Làm thế nào để bạn đối thoại với một người đang bảo vệ một quan điểm hoàn toàn sai lầm
CH04_SC230b,7:14,7:17,regret,conversational apologies,"Starting with the file folder, camera zooms out showing the studio background with a soft sepia glow, showing the progress of the action",slow push-in,2.36,mà không làm bùng nổ cự cãi căng thẳng?
CH05_SC010,7:17,7:20,defensive,conversational receptiveness,"Starting with a steady shot of a meeting table under a harsh overhead lamp, silhouette figures gesturing intensely, charcoal grey shadows",shot-reverse-shot,3.15,Hãy tưởng tượng bạn đang ở trong một cuộc họp công việc.
CH05_SC020,7:20,7:24,defensive,conversational receptiveness,"A close-up shot of a defensive colleague leaning forward, pointing slightly towards the camera with a firm and intense expression",shot-reverse-shot,4.20,Một đồng nghiệp đưa ra một đề xuất mà bạn thấy hoàn toàn không khả thi.
CH05_SC030,7:24,7:30,defensive,conversational receptiveness,"Starting with the colleague, camera zooms out showing the meeting table with a red line vector cracking the table surface in half",shot-reverse-shot,6.04,Phản xạ tự nhiên của bạn là cắt lời và tuyên bố ngay lập tức: Tôi không đồng ý với phương án đó.
CH05_SC040,7:30,7:34,defensive,conversational receptiveness,"A slow camera panning right showing a red bolt vector shooting from a silhouette mouth, striking another silhouette figure",shot-reverse-shot,3.41,Nước đi này giống như một phát súng khơi mào cho chiến tranh.
CH05_SC050,7:34,7:39,defensive,conversational receptiveness,"Starting with the red bolt, a close-up shot showing the face of a young man tensing up, with a crimson red light reflecting on his glasses",shot-reverse-shot,5.51,Hạch hạnh nhân trong não bộ của đối phương lập tức được kích hoạt sang chế độ tự vệ sinh học.
CH05_SC060,7:39,7:46,defensive,conversational receptiveness,"A steady shot of a minimalist 2D brain vector model on a dark background, with the amygdala region flashing bright red light with the amygdala region flashing aggressively in crimson red, dark charcoal grey background",shot-reverse-shot,6.82,Họ sẽ ngừng lắng nghe bạn.
CH05_SC070,7:46,7:52,defensive,conversational receptiveness,"Starting with the flashing brain, camera slowly zooms out showing a thick grey wall rising between two silhouette figures",shot-reverse-shot,6.04,Nghiên cứu về Sự tiếp nhận đối thoại của giáo sư Julia Minson tại Harvard đã mổ xẻ chính xác cơ chế 
CH05_SC080,7:52,7:58,defensive,conversational receptiveness,"A close-up shot of a person covering their ears with their hands, cast in deep charcoal grey shadow, with crimson highlight lines",shot-reverse-shot,6.56,"Khi bạn bắt đầu câu nói bằng cụm từ ""Tôi không đồng ý"", đối phương sẽ cảm thấy bản sắc của họ bị đe "
CH05_SC090,7:58,8:02,defensive,conversational receptiveness,"Starting with the covered ears, camera pans right showing a closed door with the English text 'RECEPTIVENESS' on a card hanging from the knob",shot-reverse-shot,3.41,Họ không còn nhìn nhận đây là một cuộc thảo luận công việc.
CH05_SC100,8:02,8:06,defensive,conversational receptiveness,A slow camera panning right showing the calm narrator writing on a digital screen displaying a diagram of 'FEELS vs THINKS',shot-reverse-shot,4.20,Bộ não của họ hiểu rằng đây là một cuộc chiến sinh tồn của cái tôi.
CH05_SC110,8:06,8:09,defensive,conversational receptiveness,"Starting with the diagram, camera zooms in showing the word 'FEELS' glowing in warm amber while 'THINKS' remains in dull grey",shot-reverse-shot,3.41,Cuộc đối thoại sụp đổ không phải vì sự khác biệt quan điểm.
CH05_SC120,8:09,8:14,defensive,conversational receptiveness,"A steady shot showing a balance scale with a feather on one side and a heavy block on the other, slowly leveling to a horizontal balance",shot-reverse-shot,4.72,Nó sụp đổ vì hạch hạnh nhân của cả hai bên đã đóng sập cánh cửa tiếp nhận.
