segment_id,script_section,start_hint,end_hint,retention_role,visual_intensity,visual_mode,on_screen_text,source_needed,chart_or_broll,motion_style,duration_hint,risk_notes,editor_notes
SC016,01,01:09.29,01:12.96,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,3.67,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC017,01,01:12.96,01:18.21,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,5.25,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC018,01,01:18.21,01:23.46,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,5.25,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC019,01,01:23.46,01:28.18,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.72,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC020,01,01:28.18,01:33.95,Body Narrative,High,Cel-Animation,,None,B-roll,steady shot,5.77,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC021,01,01:33.95,01:39.72,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,5.77,"Keep tone neutral, analyze policy framework only",Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC022,01,01:39.72,01:42.87,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,3.15,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC023,01,01:42.87,01:48.38,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,5.51,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC024,01,01:48.38,01:54.42,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,6.04,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC025,01,01:54.42,02:00.46,Body Narrative,Medium,Cel-Animation,,None,Chart,slow zoom-in,6.04,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC026,02,02:00.46,02:06.76,Body Narrative,Medium,Cel-Animation,,None,Chart,steady shot,6.3,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC027,02,02:06.76,02:11.22,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,4.46,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC028,02,02:11.22,02:17.78,Data Point,Medium,Cel-Animation,,None,Chart,steady shot,6.56,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC029,02,02:17.78,02:23.03,Data Point,Medium,Cel-Animation,,None,Chart,steady shot,5.25,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC030,02,02:23.03,02:27.23,Body Narrative,Medium,Cel-Animation,,None,Chart,steady shot,4.2,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC031,02,02:27.23,02:31.69,Body Narrative,High,Cel-Animation,,None,Chart,slow pan,4.46,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC032,02,02:31.69,02:36.94,Data Point,Medium,Cel-Animation,GAP: 2.5T,VDSC / SBV Report 2026,B-roll,steady shot,5.25,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC033,02,02:36.94,02:41.93,Body Narrative,Medium,Cel-Animation,FINANCIAL WEB,None,B-roll,slow pan,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC034,02,02:41.93,02:46.92,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC035,02,02:46.92,02:50.59,Data Point,Medium,Cel-Animation,,None,B-roll,steady shot,3.67,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC036,02,02:50.59,02:56.36,Data Point,High,Cel-Animation,115%,None,B-roll,steady shot,5.77,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC037,02,02:56.36,03:01.08,Data Point,Medium,Cel-Animation,,None,B-roll,slow pan,4.72,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC038,02,03:01.08,03:06.07,Data Point,Medium,Cel-Animation,,None,B-roll,slow pan,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC039,02,03:06.07,03:11.84,Data Point,Medium,Cel-Animation,,None,B-roll,steady shot,5.77,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC040,02,03:11.84,03:15.78,Data Point,Medium,Cel-Animation,,None,B-roll,steady shot,3.94,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC041,02,03:15.78,03:20.24,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,4.46,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC042,02,03:20.24,03:24.96,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.72,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC043,02,03:24.96,03:29.68,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,4.72,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC044,02,03:29.68,03:34.40,Conflict/Risk,High,Cel-Animation,,None,Chart,steady shot,4.72,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC045,02,03:34.40,03:40.96,Data Point,Medium,Cel-Animation,,None,B-roll,steady shot,6.56,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC046,02,03:40.96,03:47.00,Data Point,Medium,Cel-Animation,,None,B-roll,slow pan,6.04,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC047,02,03:47.00,03:52.51,Data Point,High,Cel-Animation,MORTGAGE RATE: 12% - 14%,None,B-roll,steady shot,5.51,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC047b,02,03:52.51,03:58.55,Data Point,Medium,Cel-Animation,COMMENT,None,Chart,steady shot,6.04,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC048,02,03:58.55,04:04.06,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow zoom-in,5.51,"Keep tone neutral, analyze policy framework only",Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC049,03,04:04.06,04:09.05,Conflict/Risk,Medium,Cel-Animation,,None,B-roll,slow pan,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC050,03,04:09.05,04:13.77,Body Narrative,High,Cel-Animation,,None,B-roll,steady shot,4.72,"Keep tone neutral, analyze policy framework only",Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC051,03,04:13.77,04:18.49,Body Narrative,Medium,Cel-Animation,,SBV Circular 25/2024 & Circular 08/2023,B-roll,steady shot,4.72,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC052,03,04:18.49,04:25.31,Data Point,Medium,Cel-Animation,,None,Chart,steady shot,6.82,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC053,03,04:25.31,04:31.35,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,6.04,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC054,03,04:31.35,04:35.81,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.46,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC055,03,04:35.81,04:42.11,Data Point,Medium,Cel-Animation,,None,B-roll,slow pan,6.3,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC056,03,04:42.11,04:44.47,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,2.36,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC057,03,04:44.47,04:48.93,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,4.46,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC058,03,04:48.93,04:53.92,Data Point,Medium,Cel-Animation,,None,Chart,steady shot,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC059,03,04:53.92,04:59.69,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,5.77,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC060,03,04:59.69,05:05.73,Data Point,Medium,Cel-Animation,,None,B-roll,steady shot,6.04,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC061,03,05:05.73,05:10.19,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.46,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC062,03,05:10.19,05:15.70,Data Point,Medium,Cel-Animation,,SBV Circular 25/2024 & Circular 08/2023,B-roll,slow pan,5.51,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC063,03,05:15.70,05:21.21,Body Narrative,Medium,Cel-Animation,TREASURY FUNDS,None,B-roll,slow pan,5.51,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC064,03,05:21.21,05:25.15,Body Narrative,High,Cel-Animation,,None,B-roll,steady shot,3.94,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC065,03,05:25.15,05:30.40,Data Point,Medium,Cel-Animation,,None,B-roll,steady shot,5.25,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC066,03,05:30.40,05:35.65,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,5.25,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC067,03,05:35.65,05:40.64,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC068,03,05:40.64,05:46.41,Data Point,High,Cel-Animation,,None,B-roll,steady shot,5.77,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC069,03,05:46.41,05:52.18,Body Narrative,Medium,Cel-Animation,,None,Chart,slow pan,5.77,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC070,03,05:52.18,05:57.17,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC071,03,05:57.17,06:02.16,Conflict/Risk,Medium,Cel-Animation,,None,B-roll,steady shot,4.99,"Keep tone neutral, analyze policy framework only",Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC072,03,06:02.16,06:08.20,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,6.04,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC073,04,06:08.20,06:12.92,Data Point,High,Cel-Animation,INTERBANK RATE: 11%,None,Chart,steady shot,4.72,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC074,04,06:12.92,06:17.64,Data Point,Medium,Cel-Animation,LIMIT: 13%,None,B-roll,steady shot,4.72,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC075,04,06:17.64,06:22.63,Actionable Guide,Medium,Cel-Animation,,None,B-roll,slow pan,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC076,04,06:22.63,06:27.09,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.46,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC077,04,06:27.09,06:32.60,Body Narrative,High,Cel-Animation,,None,B-roll,slow pan,5.51,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC078,04,06:32.60,06:38.11,Conflict/Risk,Medium,Cel-Animation,,None,B-roll,steady shot,5.51,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC079,04,06:38.11,06:44.41,Data Point,Medium,Cel-Animation,,None,B-roll,steady shot,6.3,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC080,04,06:44.41,06:49.92,Data Point,Medium,Cel-Animation,,None,B-roll,slow pan,5.51,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC081,04,06:49.92,06:54.64,Data Point,Medium,Cel-Animation,,None,B-roll,steady shot,4.72,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC082,04,06:54.64,06:58.58,Conflict/Risk,Medium,Cel-Animation,,None,B-roll,steady shot,3.94,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC083,04,06:58.58,07:03.30,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,4.72,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC084,04,07:03.30,07:09.07,Data Point,Medium,Cel-Animation,,None,Chart,steady shot,5.77,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC085,04,07:09.07,07:15.63,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,6.56,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC086,04,07:15.63,07:20.35,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.72,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC087,04,07:20.35,07:25.86,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,5.51,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC088,04,07:25.86,07:30.32,Conflict/Risk,Medium,Cel-Animation,,None,B-roll,steady shot,4.46,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC089,04,07:30.32,07:35.31,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC090,04,07:35.31,07:39.25,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,3.94,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC091,04,07:39.25,07:45.55,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,6.3,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC092,04,07:45.55,07:51.59,Data Point,Medium,Cel-Animation,,None,B-roll,steady shot,6.04,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC093,04,07:51.59,07:56.58,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC094,04,07:56.58,08:03.14,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow zoom-in,6.56,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC095,04,08:03.14,08:09.18,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,6.04,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC096,04,08:09.18,08:14.95,Conflict/Risk,Medium,Cel-Animation,,None,B-roll,steady shot,5.77,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC097,05,08:14.95,08:20.72,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,5.77,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC098,05,08:20.72,08:25.44,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.72,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC099,05,08:25.44,08:32.26,Body Narrative,High,Cel-Animation,BOND EMISSION: 127T,None,Chart,steady shot,6.82,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC100,05,08:32.26,08:37.25,Body Narrative,Medium,Cel-Animation,MAY EMISSION: 40T,None,B-roll,slow pan,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC101,05,08:37.25,08:43.29,Body Narrative,Medium,Cel-Animation,,None,Chart,slow pan,6.04,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC102,05,08:43.29,08:47.75,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.46,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC103,05,08:47.75,08:52.21,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.46,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC104,05,08:52.21,08:57.20,Data Point,High,Cel-Animation,BOND RATE: 8.3% - 9.0%,None,Chart,slow pan,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC105,05,08:57.20,09:02.19,Data Point,Medium,Cel-Animation,BOND RATE: 9.0%,None,Chart,slow pan,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC106,05,09:02.19,09:07.18,Data Point,Medium,Cel-Animation,,HNX / Bank Bond Reports 2026,B-roll,steady shot,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC107,05,09:07.18,09:13.22,Data Point,Medium,Cel-Animation,,None,B-roll,slow pan,6.04,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC108,05,09:13.22,09:17.42,Actionable Guide,Medium,Cel-Animation,,None,B-roll,steady shot,4.2,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC109,05,09:17.42,09:24.24,Data Point,Medium,Cel-Animation,,None,B-roll,slow pan,6.82,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC110,05,09:24.24,09:28.96,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.72,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC111,05,09:28.96,09:32.63,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,3.67,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC112,05,09:32.63,09:37.88,Data Point,Medium,Cel-Animation,FED RATE,Federal Reserve Rate Bulletin,B-roll,slow pan,5.25,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC113,05,09:37.88,09:43.92,Data Point,Medium,Cel-Animation,,None,B-roll,steady shot,6.04,"Avoid panic tone, show standard macroeconomic variables",Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC114,05,09:43.92,09:49.69,Conflict/Risk,High,Cel-Animation,EXCHANGE RATE,None,Chart,steady shot,5.77,"Avoid panic tone, show standard macroeconomic variables",Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC115,05,09:49.69,09:54.41,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,4.72,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC116,05,09:54.41,09:59.13,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.72,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC117,05,09:59.13,10:05.43,Data Point,Medium,Cel-Animation,,None,B-roll,steady shot,6.3,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC118,05,10:05.43,10:10.68,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,5.25,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC119,05,10:10.68,10:16.98,Conflict/Risk,Medium,Cel-Animation,,None,B-roll,slow pan,6.3,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC120,05,10:16.98,10:23.54,Body Narrative,High,Cel-Animation,,None,B-roll,steady shot,6.56,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC121,06,10:23.54,10:28.79,Body Narrative,High,Cel-Animation,,None,B-roll,steady shot,5.25,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC122,06,10:28.79,10:32.73,Conflict/Risk,Medium,Cel-Animation,,None,B-roll,steady shot,3.94,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC123,06,10:32.73,10:39.29,Conflict/Risk,Medium,Cel-Animation,,None,B-roll,slow pan,6.56,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC124,06,10:39.29,10:44.80,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,5.51,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC125,06,10:44.80,10:51.10,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,6.3,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC126,06,10:51.10,10:57.92,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,6.82,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC127,06,10:57.92,11:04.74,Conflict/Risk,Medium,Cel-Animation,EXCHANGE RATE,None,Chart,steady shot,6.82,"Avoid panic tone, show standard macroeconomic variables",Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC128,06,11:04.74,11:08.15,Data Point,Medium,Cel-Animation,FED RATE: 5.5%,Federal Reserve Rate Bulletin,Chart,steady shot,3.41,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC129,06,11:08.15,11:13.14,Actionable Guide,Medium,Cel-Animation,,None,B-roll,steady shot,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC130,06,11:13.14,11:17.60,Body Narrative,Medium,Cel-Animation,SUBSCRIBE,None,Chart,slow pan,4.46,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC131,06,11:17.60,11:23.11,Body Narrative,Medium,Cel-Animation,CASHFLOW,None,Chart,steady shot,5.51,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC132,06,11:23.11,11:29.15,Actionable Guide,Medium,Cel-Animation,,None,B-roll,slow pan,6.04,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC133,06,11:29.15,11:35.71,Actionable Guide,Medium,Cel-Animation,,None,B-roll,steady shot,6.56,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC134,06,11:35.71,11:42.53,Actionable Guide,Medium,Cel-Animation,,None,Chart,steady shot,6.82,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC135,06,11:42.53,11:48.83,Conflict/Risk,Medium,Cel-Animation,,None,B-roll,slow pan,6.3,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC136,06,11:48.83,11:55.65,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,6.82,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC137,06,11:55.65,12:01.42,Data Point,Medium,Cel-Animation,,None,B-roll,steady shot,5.77,"Avoid panic tone, show standard macroeconomic variables",Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC138,06,12:01.42,12:06.67,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,5.25,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC139,06,12:06.67,12:11.13,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.46,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC140,06,12:11.13,12:15.33,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.2,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC141,06,12:15.33,12:20.05,Body Narrative,High,Cel-Animation,,NHNN Cong van 5386,Chart,steady shot,4.72,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC142,06,12:20.05,12:25.82,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,5.77,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC143,06,12:25.82,12:30.81,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC144,06,12:30.81,12:36.85,Body Narrative,Medium,Cel-Animation,,None,Chart,slow pan,6.04,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC145,06,12:36.85,12:42.62,Conflict/Risk,Medium,Cel-Animation,,None,Chart,slow pan,5.77,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
