Scene ID,Chapter,Sentence Count,Duration (Sec),Visual Summary,Video Prompt
CH02_SC001a,2,1,8,"Bức tranh ẩn dụ 2D nghệ thuật tâm lý, bóng đen con người và các luồng sáng màu gradient rực rỡ thể hiện nội dung: Ý tưởng tự gán ghép giá trị của bản thân vào các tên tuổi lừng lẫy không phải là một phát minh mới của thời đại mạng xã hội.","slow camera panning showing the clean black silhouette of a person trying to attach their shadow to giant stone busts of famous leaders, set against a dark teal and violet gradient background. Moody backlight, deep silhouettes. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH02_SC001b,2,1,8,"Silhouette một người đàn ông đội mũ phớt che nửa mặt đi vào bóng tối đường phố.","steady shot showing the clean black silhouette of a man wearing a fedora looking at himself in a mirror, where his reflection is wearing a crown, set against a dark purple and gold gradient background. Symmetrical layout, dramatic chiaroscuro. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH02_SC002a,2,1,8,"Silhouette một người đàn ông đội mũ phớt che nửa mặt đi vào bóng tối đường phố.","slow camera tracking shot showing the clean black silhouette of a man in a coat slipping through a crowd of silhouette business executives towards a bright area where a famous inventor stands under a glowing light bulb, set against a dark blue and amber gradient background. Moody backlight, deep silhouettes. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH02_SC002b,2,1,7,"Napoleon Hill trao chiếc huy chương vàng cho Thomas Edison, ánh đèn flash máy ảnh bùng sáng.","slow camera panning showing the clean black silhouette of a man handing a large, glowing gold medal to an old inventor holding a light bulb, under a sudden bright flash of light, set against a dark teal gradient background. Moody backlight, deep silhouettes. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH02_SC002c,2,1,5,"Napoleon Hill trao chiếc huy chương vàng cho Thomas Edison, ánh đèn flash máy ảnh bùng sáng.","steady close-up shot showing a flat 2D graphic of a hand placing a golden medal with a large star engraved on it into another hand, on a solid dark gray background. Soft warm lighting, clean outlines. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH02_SC002d,2,1,5,"Bức tranh ẩn dụ 2D nghệ thuật tâm lý, bóng đen con người và các luồng sáng màu gradient rực rỡ thể hiện nội dung: Ông báo hiệu cho nhiếp ảnh gia thuê sẵn bấm máy thật nhanh.","steady shot showing a vintage bellows camera with a big flash bulb popping, emitting a bright white flash of light, set against a dark gray background. High contrast, clean outlines. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH02_SC002e,2,1,8,"Napoleon Hill trao chiếc huy chương vàng cho Thomas Edison, ánh đèn flash máy ảnh bùng sáng.","steady shot showing the clean black silhouette of an old inventor handing back a medal to a writer and pointing towards the exit, in a dark conference hall, set against a moody dark teal and gold gradient background. Symmetrical composition, dramatic chiaroscuro. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH02_SC002f,2,1,5,"Bức tranh ẩn dụ 2D nghệ thuật tâm lý, bóng đen con người và các luồng sáng màu gradient rực rỡ thể hiện nội dung: Nhưng cú bấm máy chớp nhoáng đó đã hoàn thành nhiệm vụ của nó.","steady shot showing a photographic paper submerged in a tray of developer liquid, slowly revealing the black-and-white silhouette of two men shaking hands, set against a dark solid background. High contrast, clean outlines. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH02_SC002g,2,1,6,"Napoleon Hill trao chiếc huy chương vàng cho Thomas Edison, ánh đèn flash máy ảnh bùng sáng.","steady shot showing a pair of scissors cutting a printed photograph, focusing only on the section where the two men are close together, on a solid dark gray background. Clean outlines, high contrast. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH02_SC002h,2,1,4,"Bức tranh ẩn dụ 2D nghệ thuật tâm lý, bóng đen con người và các luồng sáng màu gradient rực rỡ thể hiện nội dung: Hill in trang trọng nó trong sách như bằng chứng đanh thép.","steady shot showing a vintage self-help book opening to a page showing a printed black-and-white photo of two men, under a warm desk lamp, set against a dark amber gradient background. Symmetrical composition, soft warm lighting. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH02_SC002i,2,1,6,"Bức tranh ẩn dụ 2D nghệ thuật tâm lý, bóng đen con người và các luồng sáng màu gradient rực rỡ thể hiện nội dung: Ông muốn chứng minh nhà phát minh vĩ đại bảo chứng cho công thức của mình.","steady shot showing a glowing gold stamp with the word ""APPROVED"" stamping onto a document, with bright yellow sparks flying, on a solid dark gray background. Clean outlines, high contrast. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH02_SC003a,2,1,4,"Bức tranh ẩn dụ 2D nghệ thuật tâm lý, bóng đen con người và các luồng sáng màu gradient rực rỡ thể hiện nội dung: Sự dàn dựng này không dừng lại ở giới khoa học.","steady shot showing the silhouette of a theater stage with red velvet curtains opening to reveal a model of the White House, set against a dark indigo and gold gradient background. Symmetrical layout, soft warm lighting. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH02_SC003b,2,1,6,"Silhouette một người đàn ông đội mũ phớt che nửa mặt đi vào bóng tối đường phố.","steady shot showing the clean black silhouette of a man looking at his shadow, which is wearing a presidential sash, set against a dark purple and coral gradient background. Symmetrical composition, dramatic chiaroscuro. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH02_SC003c,2,1,5,"Cổng sắt Nhà Trắng đóng kín dưới cơn mưa đêm lạnh lẽo, đèn cửa sổ màu xanh.","steady shot showing the massive iron gates of the White House closed under a cold night rain, with a single window glowing with a green light, set against a dark blue and teal gradient background. Moody backlight, soft reflections. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH02_SC003d,2,1,8,"Cổng sắt Nhà Trắng đóng kín dưới cơn mưa đêm lạnh lẽo, đèn cửa sổ màu xanh.","steady shot showing a vintage typewriter with a page containing the English text ""WAR SPEECH"" and ""NEW DEAL"" being typed, under a warm light, on a solid dark gray background. Clean outlines, high contrast. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH02_SC004a,2,1,8,"Nhà sử học cúi đầu tra cứu đống tài liệu lưu trữ cũ kỹ trong thư viện tối.","steady medium shot showing the clean black silhouette of a historian wearing glasses, leafing through large boxes of old paper documents in a dark library archive room under a single hanging lamp, set against a dark teal and gray gradient background. Symmetrical composition, dramatic chiaroscuro. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH02_SC005a,2,1,3,"Cổng sắt Nhà Trắng đóng kín dưới cơn mưa đêm lạnh lẽo, đèn cửa sổ màu xanh.","steady shot showing a massive stone library building with a sign saying ""PRESIDENTIAL LIBRARY"" in English, set against a dark blue and amber gradient background. Symmetrical layout, soft warm lighting. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH02_SC005b,2,1,8,"Trang nhật ký viết tay cũ kỹ của Carnegie lật mở, không có nét chữ nào nhắc đến Hill.","steady shot showing a large ledger book with official seal stamps opening and flipping pages rapidly under a warm light, on a solid dark gray background. Clean outlines, high contrast. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
